epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,7093.72,0.48121,0.41098,0.95546,0.25484,0.27678,0.27012,0.15495,1.72304,3.04782,2.09009,0.000154877,0.000154877,0.000154877
123,7153.03,0.45522,0.39094,0.93697,0.48292,0.232,0.27678,0.18105,1.65986,3.12204,2.08821,0.000149801,0.000149801,0.000149801
124,7208.06,0.44829,0.39945,0.94223,0.51242,0.26008,0.2718,0.17584,1.62767,3.18108,2.07634,0.000144726,0.000144726,0.000144726
125,7268.36,0.47245,0.39421,0.95033,0.52794,0.28968,0.27863,0.17147,1.62437,3.25272,2.08644,0.00013965,0.00013965,0.00013965
126,7328.11,0.46705,0.40081,0.95116,0.60537,0.29082,0.36873,0.23008,1.656,3.22074,2.15639,0.000134575,0.000134575,0.000134575
127,7387.28,0.46928,0.39627,0.96118,0.57269,0.31973,0.39449,0.24283,1.66446,3.08391,2.19737,0.0001295,0.0001295,0.0001295
128,7448.4,0.45158,0.39086,0.93016,0.60206,0.31122,0.34719,0.20945,1.6959,3.06324,2.21743,0.000124424,0.000124424,0.000124424
129,7501.29,0.45528,0.38662,0.94742,0.39873,0.27325,0.29884,0.17646,1.78158,3.03834,2.3057,0.000119349,0.000119349,0.000119349
130,7560.23,0.42574,0.35572,0.93457,0.54208,0.20433,0.2912,0.16316,1.81321,2.98215,2.32338,0.000114273,0.000114273,0.000114273
131,7618.97,0.44324,0.38007,0.93326,0.34752,0.25045,0.30371,0.16617,1.69702,2.88346,2.19962,0.000109198,0.000109198,0.000109198
132,7673.01,0.44696,0.39553,0.94695,0.56446,0.20561,0.28927,0.1703,1.70946,2.88757,2.18533,0.000104123,0.000104123,0.000104123
133,7732.44,0.45302,0.37564,0.94799,0.46006,0.28633,0.3075,0.17942,1.68605,2.79478,2.15736,9.90472e-05,9.90472e-05,9.90472e-05
134,7791.88,0.43932,0.37672,0.93197,0.45908,0.29227,0.32337,0.18511,1.67106,2.82773,2.16758,9.39718e-05,9.39718e-05,9.39718e-05
135,7846.48,0.42186,0.36739,0.93593,0.5871,0.22421,0.30079,0.18657,1.65341,2.94507,2.10408,8.88964e-05,8.88964e-05,8.88964e-05
136,7906.4,0.42419,0.35384,0.94239,0.26448,0.28669,0.3035,0.19099,1.68039,2.96786,2.11411,8.3821e-05,8.3821e-05,8.3821e-05
137,7965.67,0.40756,0.35321,0.93289,0.28271,0.26979,0.30464,0.18892,1.70054,3.00279,2.15372,7.87456e-05,7.87456e-05,7.87456e-05
138,8020.46,0.40736,0.34752,0.93349,0.77902,0.2379,0.30945,0.19081,1.71001,3.02676,2.17994,7.36702e-05,7.36702e-05,7.36702e-05
139,8079.97,0.42049,0.36544,0.92277,0.77195,0.23461,0.30175,0.19049,1.68942,2.94573,2.18177,6.85948e-05,6.85948e-05,6.85948e-05
140,8140.13,0.42171,0.34074,0.91356,0.77059,0.235,0.31192,0.19915,1.7036,2.96485,2.18717,6.35194e-05,6.35194e-05,6.35194e-05
141,8212.29,0.36713,0.33327,0.88693,0.48053,0.31078,0.34012,0.20892,1.68942,3.05819,2.15197,5.8444e-05,5.8444e-05,5.8444e-05
142,8269.35,0.35856,0.30812,0.85866,0.57787,0.30886,0.33982,0.21163,1.68242,3.11061,2.14037,5.33686e-05,5.33686e-05,5.33686e-05
143,8328.02,0.33962,0.28918,0.86906,0.60174,0.34274,0.35201,0.21193,1.64995,3.05812,2.13488,4.82932e-05,4.82932e-05,4.82932e-05
144,8385.02,0.36825,0.31011,0.86693,0.62683,0.34084,0.3438,0.2105,1.63881,2.9926,2.13882,4.32178e-05,4.32178e-05,4.32178e-05
145,8443.04,0.3429,0.28941,0.85767,0.64417,0.30274,0.33533,0.20308,1.63418,2.96274,2.13759,3.81424e-05,3.81424e-05,3.81424e-05
146,8502.17,0.32492,0.27338,0.84754,0.66479,0.31099,0.33139,0.19925,1.58311,2.9718,2.07525,3.3067e-05,3.3067e-05,3.3067e-05
147,8560.26,0.31539,0.27492,0.85153,0.67027,0.30911,0.33018,0.20812,1.58508,3.00019,2.06201,2.79916e-05,2.79916e-05,2.79916e-05
148,8619.07,0.30522,0.26026,0.848,0.64945,0.31287,0.33812,0.21008,1.56748,3.01746,2.04664,2.29162e-05,2.29162e-05,2.29162e-05
149,8672.98,0.31646,0.2614,0.85662,0.63203,0.31102,0.34367,0.212,1.56491,3.03512,2.03881,1.78408e-05,1.78408e-05,1.78408e-05
150,8731.28,0.3149,0.26486,0.83757,0.62199,0.31028,0.3387,0.21215,1.55083,3.05994,2.015,1.27654e-05,1.27654e-05,1.27654e-05
