epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,710.961,0.52898,0.4527,0.97325,0.5829,0.26801,0.30768,0.21211,1.41239,2.70119,1.63213,0.000205631,0.000205631,0.000205631
113,717.138,0.53653,0.4493,0.94957,0.65909,0.30068,0.34346,0.22645,1.41723,2.69414,1.64349,0.000200555,0.000200555,0.000200555
114,723.036,0.52389,0.44568,0.92423,0.74683,0.31939,0.35853,0.24284,1.40266,2.69618,1.67132,0.00019548,0.00019548,0.00019548
115,728.454,0.49722,0.42494,0.9417,0.62689,0.31634,0.33656,0.24068,1.4489,2.71743,1.73446,0.000190404,0.000190404,0.000190404
116,734.09,0.49598,0.40742,0.93591,0.51825,0.29296,0.31266,0.23206,1.3856,2.72206,1.69324,0.000185329,0.000185329,0.000185329
117,739.681,0.50243,0.42611,0.92975,0.91611,0.2346,0.30224,0.21746,1.31816,2.65224,1.64525,0.000180254,0.000180254,0.000180254
118,745.206,0.49567,0.41256,0.944,0.51432,0.28615,0.30095,0.21526,1.32256,2.74142,1.62224,0.000175178,0.000175178,0.000175178
119,751.219,0.52483,0.44068,0.94569,0.52806,0.26763,0.29427,0.20697,1.34695,2.793,1.65747,0.000170103,0.000170103,0.000170103
120,756.507,0.47623,0.39655,0.9272,0.876,0.23667,0.28819,0.20224,1.34389,2.86847,1.63007,0.000165027,0.000165027,0.000165027
121,761.9,0.46512,0.39369,0.9241,0.67771,0.28626,0.2965,0.21057,1.3618,2.84864,1.66228,0.000159952,0.000159952,0.000159952
122,767.846,0.46627,0.40244,0.92485,0.64386,0.26819,0.30175,0.23218,1.2917,2.84768,1.6295,0.000154877,0.000154877,0.000154877
123,773.456,0.45319,0.38058,0.91334,0.82633,0.24966,0.31996,0.25055,1.3,2.8421,1.64453,0.000149801,0.000149801,0.000149801
124,779.092,0.45364,0.39761,0.92479,0.63476,0.26671,0.31626,0.24093,1.32907,2.88521,1.64288,0.000144726,0.000144726,0.000144726
125,784.606,0.47996,0.39844,0.92777,0.95475,0.18707,0.30143,0.22756,1.33443,2.88286,1.65848,0.00013965,0.00013965,0.00013965
126,790.483,0.47109,0.41853,0.92498,0.95742,0.18707,0.29871,0.22288,1.37324,2.87977,1.69039,0.000134575,0.000134575,0.000134575
127,796.554,0.46885,0.38866,0.93774,0.95825,0.18577,0.29674,0.21974,1.40602,2.9507,1.71184,0.0001295,0.0001295,0.0001295
128,801.937,0.46191,0.39521,0.90752,0.95225,0.1835,0.29461,0.21653,1.40622,3.01866,1.70565,0.000124424,0.000124424,0.000124424
129,807.874,0.4653,0.37762,0.9366,0.95471,0.18143,0.28271,0.20841,1.40711,3.04769,1.70219,0.000119349,0.000119349,0.000119349
130,813.512,0.44894,0.36225,0.9247,0.95838,0.18687,0.27655,0.19953,1.4568,3.06758,1.75123,0.000114273,0.000114273,0.000114273
131,818.642,0.44973,0.36941,0.915,0.95788,0.18797,0.30022,0.20964,1.47287,3.0667,1.77152,0.000109198,0.000109198,0.000109198
132,824.561,0.45841,0.39828,0.92862,0.9583,0.188,0.29767,0.20648,1.47077,2.98223,1.77952,0.000104123,0.000104123,0.000104123
133,829.684,0.44998,0.37707,0.91431,0.43756,0.25986,0.29911,0.20884,1.42774,2.93431,1.73548,9.90472e-05,9.90472e-05,9.90472e-05
134,834.974,0.45477,0.38059,0.91444,0.397,0.29395,0.31623,0.21579,1.41045,2.87484,1.73919,9.39718e-05,9.39718e-05,9.39718e-05
135,840.824,0.44203,0.37521,0.91382,0.3904,0.2955,0.30909,0.20923,1.39787,2.90561,1.71595,8.88964e-05,8.88964e-05,8.88964e-05
136,845.722,0.4437,0.37354,0.92815,0.5518,0.29558,0.31962,0.2217,1.41164,2.9647,1.73061,8.3821e-05,8.3821e-05,8.3821e-05
137,852.183,0.42721,0.35447,0.92124,0.50807,0.30068,0.30738,0.2074,1.42178,3.04777,1.72647,7.87456e-05,7.87456e-05,7.87456e-05
138,856.522,0.42269,0.36104,0.91375,0.50279,0.2843,0.30735,0.2038,1.44898,3.10842,1.74269,7.36702e-05,7.36702e-05,7.36702e-05
